Word,Emotion,Polarity,Social,Moral,Thought
lock,2.11,2.34,1.69,2.2,2.84
logic,4.07,5.45,4.21,4.87,6.06
love,6.44,6.08,6.38,5.2,5.5
lunch,2.18,4.3,2.93,2.46,2.86
macaroni,2.14,3,1.85,1.58,1.44
magic,3.78,3.17,3,2.3,4
magnitude,3.03,3.27,2.58,3.03,3.97
majority,3.07,3.42,3.79,2.9,4.03
malice,5.66,3.79,3.97,3.77,4.44
mankind,3.55,4.4,4.31,4.08,4.72
manner,4.11,4.33,3.62,4.5,4.92
mansion,2.59,3.18,2.52,1.74,1.69
march,2.09,3.3,1.85,2.16,2.65
margin,1.91,2.2,2.31,2.69,2.64
marriage,4.18,5.4,6.15,4.23,4.36
master,2.46,3.3,4.85,2.69,4.07
mastery,4.48,4.58,3.24,3.9,4.75
material,1.91,3.1,2,2.46,2.29
math,2,4.6,2.31,2.62,4.08
mattress,2,2.79,2.48,1.65,1.5
measure,2,3,2.37,2.45,3.85
medicine,2.67,3.67,2.56,2.5,4.42
meeting,2.46,3.8,4.61,2.84,3.65
member,2.46,4.4,5,3.69,2.86
memory,4.9,5.06,4.3,3.52,5.94
menu,1.93,3.58,2.03,1.97,1.91
mercy,5.62,5.12,5.24,4.77,4.97
message,2.34,3.27,4.05,2.75,4.19
metaphor,3.28,3.3,2.97,2.39,5.19
method,3,3.7,3.21,3.19,4.84
microscope,2.28,3.24,1.82,1.58,2.28
midnight,2.76,4.03,2.33,1.61,1.75
mile,2.09,2.7,1.69,2.61,3.14
mileage,2.46,2.7,1.77,2.39,2.21
mind,4.09,4.9,2.39,4.77,5.93
miracle,4.34,4.79,3.64,3.29,3.91
misery,5.27,4.3,2.3,4.31,5.21
missile,2.31,3,2.39,1.61,2.13
mold,2,2.9,1.69,3.08,2.22
moment,3.45,3.58,4.3,2.58,2.94
money,3.69,5.48,4.42,3.32,3.69
month,1.91,3.4,2.08,2.62,2.36
moonlight,2.76,4.36,2.09,1.68,2.38
moral,5.09,5.7,3.46,5,5.93
mosquito,2.34,3.36,1.42,1.55,1.72
mother,4.76,5.36,5.36,3.58,3.59
mountain,2.48,4.03,1.94,1.65,2.06
mud,1.73,3.8,1.54,2.54,2.57
murder,4,3.7,3.85,4,3.86
music,3.82,5,2.62,3.54,4.43
mustard,1.97,3.24,1.52,1.68,1.44
mystery,3.28,3.91,3.39,2.19,4.75
myth,3.28,3.82,2.73,2.39,5.06
name,2.27,4.5,3.54,2.38,2.57
nation,2.54,3.9,3.31,3,3.29
necessity,3.79,4.27,3.52,4.45,3.56
neck,2.07,3.24,2.55,1.58,1.78
necklace,2.41,3.18,1.91,1.58,1.69
neighborhood,3.27,3.8,4.54,2.84,3
nerve,4.09,3.8,2.62,3.23,4.14
newspaper,2.45,3.12,3.39,1.68,2.69
nose,1.54,3,2.54,2.61,2.22
number,1.82,2.9,2.08,2.23,3
nurse,2.73,4.2,3.92,2.23,3.07
object,1.73,3.3,2,2.62,2.72
obstruction,2.27,2.4,2.08,3,3.07
occasion,3.14,3.03,3.52,3.29,3.16
occupation,3.14,4.15,4.24,3.87,3.84
ocean,2.76,4.15,2.15,1.84,2.66
odor,2.64,3.4,2.08,2.31,3.43
onion,1.86,3.06,1.67,1.52,1.47
opera,3.24,3.12,2.55,1.74,1.81
opinion,4.79,4.42,4.61,4.61,5.72
opponent,3.09,3,4.77,3.85,2.93
opportunity,3.83,4.76,4.3,4,4.91
opposition,4.07,3.67,3.67,3.32,5.34
orchestra,2.66,3.7,3.27,1.61,3
orchid,2.86,3.18,1.79,1.52,1.84
origin,2.86,3.3,2.61,2.65,4
originality,4.69,4.52,3.76,3.94,5.38
outcome,3.59,3.79,3.24,4.19,4.38
outfit,2,3,2.54,2.69,2.93
oven,2.24,3.21,1.97,1.55,1.56
owner,2,3.8,4,2.85,3.36
ownership,3.62,4.09,4.06,3.77,3.47
palace,2.62,3.15,2.18,1.68,1.53
paradigm,3,3.55,2.64,3.16,4.91
paragraph,1.84,2.65,1.6,2.25,3.63
parish,1.55,3,2.46,2.53,2.14
park,2.18,4.1,2.15,2.46,2.78
past,3.67,4.59,4.25,3.8,4.58
pawn,2.55,3,3.15,2.77,2.43
payment,2.18,4.7,2.69,3.62,2.57
peace,4.73,4.9,3.62,4.77,5.29
peacemaker,4.38,4.92,3.95,4.88,4.63
peach,2.45,3.3,1.55,1.65,1.59
