"Occurrences","Word","LgSUBTLWF","OLD","PLD","I_Mean_RT","I_Zscore","I_Mean_Accuracy"
"1","cornfield","1.568","3.350","3.650","761.286","-0.091","0.85"
"1","cornflakes","1.415","3.950","4.450","723.375","-0.220","1.00"
"1","corny","2.308","1.850","1.650","668.593","-0.324","0.87"
"1","coronary","2.009","2.800","2.900","874.655","0.206","0.91"
"1","coronation","2.033","2.750","2.750","844.550","0.387","0.65"
"1","corporal","2.905","3.000","3.550","779.710","-0.068","0.91"
"1","corporate","2.718","2.850","3.200","680.970","-0.216","1.00"
"1","corporation","2.595","2.700","3.450","712.531","-0.242","1.00"
"1","corporeal","1.415","3.600","3.900","948.500","0.649","0.36"
"1","corps","2.745","1.500","1.000","644.290","-0.355","0.94"
"1","correct","3.360","2.500","2.400","510.424","-0.895","0.97"
"1","correction","2.215","2.550","2.550","658.647","-0.504","1.00"
"1","corrective","1.431","3.000","2.700","741.794","-0.167","0.97"
"1","correlation","1.477","2.750","3.000","657.818","-0.474","1.00"
