No,Word,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised
145,terrorist,2.5161,5.0968,1.7097,0.0645,1.5806,0.1290,5.7419,0.0000,5.8387,0.0000,4.7742,5.3548,5.0000,5.6452,4.2258
509,testimony,4.8214,1.7500,4.7143,1.2143,3.8929,3.8929,2.3214,1.4643,1.8929,1.6071,1.6429,1.6429,1.2143,1.3571,2.3929
153,theater,4.0000,0.6667,2.2500,1.1250,1.2083,2.9167,0.0417,4.9583,0.1667,4.2917,1.4583,0.6667,0.1667,0.8333,1.6250
486,theme,3.2692,1.1923,2.7692,1.6538,2.8077,2.3462,0.6154,3.1538,0.6923,3.1154,1.1923,0.8462,0.3077,0.6923,2.1154
487,theory,3.0714,0.9286,2.6786,1.2143,5.1429,3.7857,1.3214,1.8571,0.7857,1.4643,0.7857,0.8571,0.5714,0.7143,1.8929
229,threw,2.5357,2.8214,0.8214,2.1786,1.1429,1.0714,3.2143,1.6786,1.3571,1.2500,0.5714,1.6786,0.9643,1.0000,1.2500
263,thunder,0.1667,0.0000,0.0333,0.0000,0.0000,0.2333,2.1000,1.1333,2.3000,0.6667,0.7000,0.2000,0.0667,3.3333,3.6333
111,ticket,2.2143,0.1786,0.9643,0.1786,0.2143,2.8929,0.5714,2.4643,0.8214,2.8929,0.3571,0.6429,0.2857,0.4286,0.7857
292,tiger,0.2857,1.1786,0.1071,0.1429,0.0357,0.5357,4.9286,2.0357,1.4286,1.5000,0.2857,0.3571,0.1786,4.3571,2.1786
26,tired,1.5714,1.4286,1.7143,1.4286,4.7619,0.6190,1.0952,0.5238,2.8571,0.3810,2.5714,0.8571,0.5238,0.5238,0.4762
436,toaster,0.4138,0.0000,0.0000,0.0000,0.1034,2.3793,1.2069,2.2414,0.0000,1.3448,0.0345,0.0000,0.0345,0.0000,0.3448
382,tobacco,0.9333,0.0000,0.5000,0.4000,0.3667,0.2000,5.4000,0.7333,4.6000,0.6667,1.7000,1.5333,3.3333,1.0000,0.1333
308,toe,0.0690,0.2414,0.2069,1.7586,0.1379,1.5517,0.4483,0.8276,0.8276,0.2069,0.0000,0.0690,0.8276,0.0690,0.1034
336,tomato,0.3333,0.0000,0.1000,0.2333,0.2000,2.8000,0.3333,3.9333,0.3333,2.2667,0.0000,0.0667,0.2333,0.0000,0.1667
230,took,3.4483,4.0345,1.2759,2.5517,2.3793,2.2069,2.5172,1.1034,2.0000,1.1724,1.2414,1.8966,1.3103,0.9655,2.0000
366,torment,4.0667,0.9000,1.0333,0.2667,3.9667,0.1667,5.0667,0.0000,5.6000,0.0000,4.9667,4.6000,4.1000,4.9333,2.2667
271,tornado,0.5714,0.1429,0.0000,0.0714,0.0714,0.0357,5.8571,0.4286,5.3571,0.0000,3.3571,1.5714,1.2500,5.5000,3.5000
146,tourist,2.4063,5.7813,0.9688,1.1250,0.8438,2.4375,0.7813,2.0625,0.7500,1.6563,0.0938,0.6250,0.3438,0.1875,1.0938
451,train,1.2000,0.0667,0.4000,0.2000,0.0667,3.7000,2.5333,1.8000,0.3667,1.2667,0.1333,0.1667,0.0000,0.6333,0.4667
510,treaty,5.1724,2.2414,3.2069,0.4828,2.5862,5.2414,1.4138,2.3793,0.2759,2.3103,0.3103,0.5862,0.2759,0.4483,1.0690
75,tree,0.0323,0.0323,0.0323,0.0645,0.0000,2.9032,0.9355,3.6452,0.0000,2.3871,0.0968,0.0000,0.0323,0.0968,0.1935
