No,Word,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised
515,evening,0.2069,0.0000,0.0345,0.1724,0.0345,0.7586,0.1034,3.3103,0.1724,2.2069,0.5172,0.0345,0.0000,0.9655,0.1034
499,excuse,4.7000,1.0000,4.4667,0.9000,4.3667,1.7000,3.0000,0.3000,3.1000,0.4667,2.3000,3.3667,2.1333,0.6667,2.1667
10,expensive,0.3000,0.3500,0.0500,0.8000,0.0500,2.0500,0.2000,2.5000,0.7000,2.2500,0.9000,0.7000,0.6000,0.3000,1.2500
535,explosion,0.6897,0.2069,0.4138,0.0000,0.1034,0.6552,5.6207,0.3103,4.5517,0.2759,2.9655,2.5517,2.0690,4.7586,5.0345
296,eye,1.9000,0.6333,3.6333,3.9667,1.7667,4.0000,0.2667,3.1333,0.2000,1.9667,0.5333,0.4000,0.2333,0.4667,0.7667
459,fallacy,2.5517,1.2759,2.0345,0.8621,3.6552,0.6552,3.1724,0.1724,3.5172,0.1379,2.4828,3.1034,1.8621,2.0690,1.7586
65,family,4.2500,5.4286,1.8214,4.6786,1.4286,4.6071,1.6071,4.5000,1.2143,4.9286,1.4286,1.7857,0.5357,0.6429,2.4286
11,famous,2.1111,1.7778,1.0370,0.9259,1.4815,2.2963,0.5185,3.0741,0.6667,2.0741,0.1852,0.0741,0.2963,0.0000,0.6296
411,farm,2.1290,0.4194,0.1935,0.3548,0.2903,4.7097,0.6129,2.8387,0.4516,2.1290,0.1935,0.1613,0.3548,0.2258,0.1613
127,farmer,1.3214,5.3571,0.6071,0.6429,0.7857,4.5000,0.6786,2.7857,0.3214,1.8214,0.1786,0.2143,0.1071,0.1071,0.1786
460,fate,1.9200,1.9200,0.5200,2.1200,2.3200,3.2400,2.7600,1.8800,2.2400,2.3600,2.3200,2.0800,0.6400,2.7600,3.0000
423,faucet,0.3000,0.0333,0.0667,0.2000,0.2000,3.0000,0.2333,1.7667,0.1000,0.7333,0.0667,0.0333,0.0333,0.0667,0.0667
239,feared,2.6429,2.3571,1.8929,1.7143,3.8929,0.6071,4.0000,0.2857,5.6786,0.1071,2.6786,2.5000,2.8571,5.9286,3.5000
97,feather,0.0690,0.0345,0.3448,0.1034,0.0345,0.4828,0.0345,2.2414,0.1724,1.3103,0.1034,0.0345,0.0690,0.0690,0.1379
198,fed,2.4483,2.5517,0.2759,4.2069,1.0000,4.5517,0.6207,4.0345,0.2759,3.2759,0.1034,0.0345,0.2414,0.1034,0.2414
461,fee,2.2593,0.0370,0.5185,0.0000,0.3704,1.7037,0.9630,0.1481,4.0370,0.1852,1.8889,2.8889,1.3704,0.7037,1.3704
98,fence,0.3793,0.0345,0.2414,0.2759,0.0690,2.3793,0.6552,1.0345,0.4138,0.4138,0.1379,0.3448,0.0345,0.1724,0.1724
525,festival,5.4483,0.6897,1.5862,0.3448,0.6897,2.3793,0.3103,5.4483,0.2414,5.2759,0.0345,0.0690,0.0690,0.0690,2.0690
393,fiddle,1.5714,0.0357,1.7143,0.3214,1.3929,1.6786,0.2857,3.3929,0.2143,2.7143,0.7500,0.0714,0.0000,0.0000,0.5357
158,field,0.7931,0.1034,0.2069,0.2759,0.3103,1.3448,0.3448,3.3103,0.2069,1.8966,0.1379,0.1034,0.1379,0.4483,0.2414
297,finger,0.8276,0.7931,3.7931,3.0345,0.6207,3.3793,1.7586,1.8966,0.1034,1.2759,0.0345,0.2414,0.2069,0.1034,0.2414
518,fireworks,2.4286,0.1071,0.7500,0.2143,0.2143,1.1071,3.3929,4.4643,0.7143,3.9643,0.1786,0.2143,0.1429,1.0000,3.5357
66,fish,0.1429,0.4286,0.0357,0.3214,0.0000,2.4643,0.8214,2.5000,0.7857,1.5714,0.0000,0.0000,0.8929,0.2143,0.8571
199,fixed,1.9310,3.9655,1.2414,2.8966,3.5172,4.9310,0.5862,2.2759,0.5517,2.2069,0.1724,0.2069,0.1034,0.1034,0.6207
200,flew,1.0357,1.7857,0.9643,1.1429,0.7857,2.6429,1.1786,2.5000,0.6786,1.6429,0.1071,0.0357,0.0357,1.0714,0.2500
44,flood,0.2759,0.0000,0.0345,0.0000,0.0000,0.0345,5.4828,0.2069,5.2759,0.0000,3.5862,2.1034,0.9655,4.2069,3.1034
67,flower,1.0968,0.0645,1.4839,0.2903,0.2581,2.2258,0.4516,5.0323,0.0323,4.1935,0.2258,0.0000,0.0000,0.0968,1.2581
394,flute,1.2414,0.1379,1.1724,0.4828,1.6897,1.4483,0.3103,4.2759,0.1034,3.2414,0.5172,0.0690,0.0000,0.1034,0.5517
462,folly,2.7857,0.5714,0.7857,0.9643,3.6071,0.7500,3.3929,0.3929,3.7857,0.3571,2.1071,2.5000,1.9286,1.5000,2.1786
298,foot,0.3333,0.4333,0.6667,2.3333,0.6667,2.7000,1.9333,1.1000,0.9667,0.7333,0.1000,0.1667,1.4000,0.2333,0.1667
99,football,3.7500,0.0357,0.4286,0.8214,0.9286,1.0000,1.2857,2.6429,0.1429,1.6071,0.1786,0.2500,0.1429,0.1429,0.6786
159,forest,0.5000,0.0714,0.1071,0.5714,0.0000,3.3214,0.9286,3.8214,0.1429,3.0000,0.0000,0.0357,0.1071,0.7500,0.3929
201,found,1.5926,2.8519,1.0000,2.7037,2.2222,4.3704,0.6296,3.4815,0.2222,3.9630,0.2593,0.2963,0.1852,0.4444,3.2963
412,fountain,0.9286,0.0000,0.2500,0.1071,0.1071,1.8929,0.3571,4.5357,0.0000,3.5000,0.0714,0.0357,0.1071,0.0714,0.6786
12,friendly,5.2258,3.3548,4.3548,4.4194,3.1290,4.0645,0.0968,5.4839,0.0323,5.1290,0.0645,0.0968,0.0000,0.0323,0.4839
355,fun,4.1481,0.5185,1.7407,3.1852,3.7407,4.0741,0.5185,5.7407,0.0741,5.8148,0.0741,0.0000,0.0370,0.1111,2.0000
248,funeral,5.3125,0.4375,1.4063,0.3125,1.0000,1.3125,0.9688,0.0938,4.9063,0.1563,5.6563,1.9688,1.5000,3.0313,1.1875
413,garden,0.8214,0.1786,0.2500,1.0000,0.5714,4.1429,0.3571,5.0714,0.0714,3.9643,0.1429,0.0714,0.0714,0.0714,0.5357
258,gasp,1.6774,0.2581,3.2258,0.0323,0.9355,0.2581,0.2258,0.2581,1.6452,0.4839,0.8065,0.5161,0.4194,1.8710,3.6129
202,gave,5.5806,4.1613,3.7097,3.7097,1.4516,5.0000,0.8710,3.4516,0.4194,2.8710,0.3871,0.3871,0.2903,0.1613,2.1935
68,girl,1.3448,5.7241,0.5517,2.3103,1.0345,2.5517,1.7241,4.1379,0.3793,3.3448,1.1724,1.1724,0.3103,1.2414,1.4828
100,glass,0.4286,0.0000,0.1786,0.3571,0.0357,1.3929,2.2143,1.1429,0.0714,0.3929,0.0714,0.0000,0.0000,0.0714,0.0714
282,goldfish,0.0938,0.3750,0.1250,0.0313,0.0625,1.0625,0.1250,3.2813,0.4063,2.3438,0.0938,0.0625,0.2500,0.0625,0.2188
395,gong,1.5172,0.0000,3.1034,0.0345,0.0690,0.8621,0.5172,1.5862,1.4828,0.8966,0.1379,0.5862,0.1034,0.5517,2.5172
356,gratitude,4.4000,1.4000,3.6667,3.0000,4.4000,4.3333,0.1333,5.0333,0.0333,5.2333,0.0667,0.0333,0.0000,0.0333,2.0000
32,green,0.4444,0.0741,0.2593,0.4074,0.1481,0.5926,0.2222,1.2593,0.6667,0.6667,0.2222,0.2963,1.0741,0.2222,0.2593
203,grew,0.4400,1.2800,0.2800,2.2400,0.8400,2.7600,0.3200,1.9200,0.3200,1.4800,0.2000,0.2400,0.0400,0.3200,0.5600
357,grief,2.0714,0.5357,1.3571,0.8571,4.8571,0.5357,2.6071,0.0714,5.4643,0.0000,5.6429,2.3571,0.9643,2.6786,1.3214
500,grievance,4.7407,1.5185,3.8519,0.8148,4.0370,2.1481,3.8148,0.2963,4.8519,0.2222,3.7037,3.7778,1.9259,2.4815,2.6296
128,guard,2.5926,5.6296,1.1481,0.2963,0.8148,4.1852,2.1852,1.1481,0.8519,1.1111,0.2593,0.7778,0.2222,1.7407,1.2222
358,guilt,2.4333,0.7667,1.1667,1.7000,5.1667,0.7333,3.1333,0.0333,5.3333,0.0000,4.4333,3.1000,3.2000,2.2667,1.0333
371,gum,0.1429,0.0000,0.0357,0.0357,0.0714,1.0714,0.3571,3.1786,0.2857,1.9643,0.0000,0.0357,0.4286,0.0000,0.1429
259,gunshot,3.1034,0.9310,1.1724,0.3448,0.3793,1.5517,5.7931,0.4138,4.6207,0.3793,3.3103,3.5172,2.5172,4.8966,5.1724
268,hailstorm,0.5000,0.1333,0.0000,0.0000,0.0667,0.1000,4.7667,0.6000,4.0667,0.3000,2.0000,1.7667,0.6333,2.7667,2.7333
299,hair,0.8276,0.0345,0.4138,4.1724,0.0000,2.1379,0.3448,3.2069,0.7931,2.3448,0.3103,0.5517,0.5862,0.1724,0.5172
424,hairbrush,0.5333,0.0667,0.0667,1.2333,0.3000,3.0667,0.7000,2.1667,0.4000,1.6667,0.0333,0.1000,0.1333,0.1000,0.0667
160,hall,1.0800,0.2400,0.6400,0.2000,0.1200,1.2800,0.2400,0.7600,0.2000,0.2800,0.1200,0.0400,0.0800,0.2000,0.5200
372,ham,0.9310,0.1034,0.0345,0.0345,0.0345,1.7931,0.3103,3.6207,0.1724,2.5517,0.0345,0.0690,0.1034,0.0000,0.0000
283,hamster,0.6207,0.8966,0.1379,0.1724,0.1379,1.2759,0.6552,3.3103,0.6552,3.0000,0.2414,0.1379,0.5517,0.4138,0.9655
300,hand,1.6667,0.4333,4.0000,3.0667,0.5000,3.2333,3.7000,1.9333,0.2667,1.3333,0.1667,0.2333,0.3000,0.6333,0.4000
249,handshake,5.6667,1.3333,4.7576,1.1818,1.3333,2.1515,0.3030,3.1212,0.4242,3.1515,0.1515,0.1212,0.3636,0.3333,0.5758
37,happy,3.5862,2.3793,2.4138,3.1379,3.6207,2.4828,0.0690,5.4483,0.0000,5.7931,0.1379,0.0000,0.0000,0.0345,1.6552
396,harmonica,1.2759,0.1724,1.4828,0.3448,1.3103,1.1724,0.1724,4.0000,0.2069,3.1379,1.0000,0.1379,0.1034,0.0345,1.1379
397,harp,1.6897,0.0690,1.6552,0.2414,1.6207,1.4828,0.1724,4.6207,0.1034,3.2414,0.5517,0.0690,0.0690,0.1379,0.3793
284,hawk,0.0968,0.9032,0.2258,0.1290,0.3548,0.8065,2.0323,1.5484,0.5484,1.0645,0.2581,0.3871,0.2903,1.3226,1.1613
13,heavy,0.4828,0.1034,0.5862,1.0690,0.6552,0.3793,1.7241,0.2759,1.2069,0.2759,1.1034,0.6207,0.5172,0.3793,0.2414
204,held,2.2963,2.3333,0.7407,3.4815,0.3704,1.7407,0.5926,2.4444,0.5556,1.9259,0.7037,0.3704,0.2593,0.5556,0.3704
205,helped,5.2692,4.6923,3.2308,3.6154,3.0385,5.7308,0.1538,4.1538,0.5385,3.6154,0.3462,0.1923,0.0769,0.5385,1.3846
463,heredity,1.3214,1.4643,0.3214,4.4643,1.3214,3.0714,1.4643,1.4286,0.6429,1.3214,0.4286,0.2857,0.2143,0.6071,0.6786
501,heroism,4.2333,2.5000,1.5667,1.9333,3.1000,5.7000,0.4667,4.3333,0.0667,4.8667,0.4333,0.0667,0.0000,0.3667,3.1000
464,hierarchy,3.9200,1.2800,1.4800,1.4400,1.5200,2.4800,1.4400,0.8800,1.6000,0.8400,1.0000,1.6800,0.9200,1.0800,0.4800
161,highway,1.8387,0.2581,0.7419,0.4194,0.2258,3.6452,1.7097,0.8710,0.8710,0.5161,0.3871,0.5806,0.1613,0.6452,0.4839
206,hiked,2.2333,3.6333,0.4667,2.6000,1.3000,3.0000,1.2333,4.0000,0.5667,2.6333,0.0667,0.0333,0.0333,0.5667,0.2333
425,hoe,0.3793,0.1724,0.1379,0.0690,0.3793,3.8276,2.6207,1.2414,0.7931,0.8621,0.1034,0.1379,0.1379,0.1724,0.1724
414,home,1.2414,0.0000,0.4483,3.2759,0.3103,3.6897,0.3103,4.2759,0.1724,4.6552,0.3103,0.2414,0.0345,0.1724,0.1724
373,honey,0.2500,0.0000,0.0000,0.1071,0.0357,3.1786,0.6071,4.6071,0.1429,3.4643,0.0000,0.0000,0.1786,0.0714,0.2500
250,honeymoon,6.0000,1.3667,1.7667,1.0333,1.0000,3.2000,0.2667,5.6000,0.0667,5.4000,0.0333,0.0333,0.0333,0.0667,1.5667
339,hope,2.2333,1.8333,1.4000,3.3333,5.1000,4.9333,0.4000,4.4000,0.1333,4.7667,0.5333,0.1333,0.1000,0.4333,1.5667
69,horse,0.4286,1.0357,0.4286,0.0357,0.3214,2.5714,1.5357,2.7857,0.0714,2.1429,0.0000,0.0357,0.1071,0.3214,0.3571
162,hospital,2.9032,0.5806,0.7097,0.5484,0.9677,5.4516,1.6129,0.5161,3.6129,0.7097,2.7419,1.1613,1.6774,2.4839,1.3226
14,hot,0.8276,0.0000,0.2414,0.3103,0.2759,1.4828,3.8276,1.7241,2.7586,0.4828,0.3448,2.3793,0.5172,0.7241,0.8276
163,hotel,2.3667,0.3667,0.3667,0.1667,0.1667,3.2000,0.2000,3.4667,0.3667,1.9333,0.2000,0.2000,0.2667,0.2667,0.3667
45,hurricane,1.0667,0.2000,0.0667,0.0333,0.1000,0.0333,5.7667,0.1333,5.2667,0.0667,3.2000,1.7333,1.2333,4.8667,3.1667
465,hygiene,1.0345,0.4828,0.5172,4.4828,1.3793,5.1379,0.6552,4.2759,0.6897,3.1724,0.1379,0.1034,1.1034,0.1379,0.3103
374,ice,0.1786,0.0000,0.0000,0.1429,0.0000,2.2143,1.8214,2.1786,0.7500,0.7143,0.0714,0.0000,0.0000,0.5357,0.2857
466,infinity,0.3077,0.0385,0.2692,0.0769,1.3462,0.3846,0.2308,1.1923,0.3462,0.8846,0.5000,0.1154,0.0000,1.2308,1.1538
15,injured,1.7333,0.5667,0.4667,0.4667,0.6667,0.0333,3.2333,0.0000,4.9667,0.0000,3.2333,2.4333,1.7333,2.6667,1.6000
251,insult,4.8966,1.0690,4.2414,1.0000,3.4138,0.3448,3.8621,0.2414,5.5517,0.0690,4.4828,5.3793,3.8276,1.8966,3.3448
340,intellect,2.2143,2.0357,3.3929,5.0000,5.8214,5.1429,0.9643,4.3571,0.2143,4.5357,0.1786,0.3571,0.1786,0.2857,1.2143
207,interviewed,5.9032,4.8065,5.6774,1.6129,4.3226,3.2903,1.1290,1.0323,2.2258,1.3226,0.7097,0.8387,0.6452,1.5806,1.5484
359,ire,2.8077,0.8077,2.3462,0.8846,4.2308,0.5000,3.9231,0.0769,5.0000,0.0385,2.3077,5.0385,1.8846,2.5769,2.1538
467,irony,2.6667,0.5000,2.2333,1.4000,3.8667,1.1333,1.1333,1.6000,2.1333,1.2333,1.7667,1.9333,1.1333,0.6333,3.0000
164,island,0.5417,0.0833,0.2083,0.3750,0.3333,1.4583,0.2083,4.1667,0.1667,3.3333,0.2083,0.0833,0.1250,0.0833,0.4167
325,ivy,0.0000,0.1000,0.1000,0.0667,0.0333,0.3667,1.5667,1.3333,1.9000,0.8000,0.5667,0.7000,0.5333,0.4333,0.3667
375,jam,0.2333,0.0000,0.1000,0.0333,0.0000,1.3333,0.2333,3.6667,0.3000,2.4667,0.0000,0.0000,0.2667,0.0000,0.1000
301,jaw,0.8667,0.4000,5.3333,2.9667,0.5000,2.8000,1.4667,1.4000,0.3000,0.7000,0.2667,0.2667,0.2333,0.2333,0.2333
360,jealousy,3.8276,1.1724,2.0690,0.7586,5.1379,0.2069,3.5172,0.1724,5.0690,0.0345,3.4828,3.7241,2.8621,2.1379,1.9655
252,joke,4.4138,0.9310,4.0345,2.0690,3.4828,2.9310,1.4138,4.0000,1.1724,5.1724,0.5172,1.1379,1.1379,0.4138,3.2069
129,journalist,3.4333,5.9000,3.4667,0.6333,2.3667,3.6667,2.1000,2.1667,1.4333,2.1333,1.2667,1.8000,1.2333,0.9333,2.5333
361,joviality,3.8621,1.4138,2.7931,3.4138,4.1379,3.9310,0.2069,4.6897,0.1379,5.5172,0.0690,0.0000,0.3103,0.2414,2.4138
362,joy,2.6552,0.9655,1.5517,2.9655,4.3793,4.0345,0.0345,5.6207,0.0000,5.6897,0.0000,0.0345,0.0345,0.0000,2.1034
130,judge,2.8929,5.0357,1.9286,0.3571,1.7143,3.7500,2.5714,1.0714,2.2500,0.8214,1.6071,1.9286,1.0357,2.5714,1.8214
415,jungle,0.4828,0.0690,0.2069,0.2069,0.2069,2.1379,2.3448,2.1034,1.2759,1.4828,0.5172,0.2069,0.2414,2.5172,0.9655
70,jury,5.5556,5.2593,2.9259,0.9630,3.0000,3.7037,2.5926,0.8889,2.5926,0.6296,1.7037,1.8148,0.8519,2.0741,1.7407
376,ketchup,0.4138,0.0000,0.1034,0.1724,0.1724,1.4138,0.2414,2.7931,0.2759,1.9655,0.0345,0.0000,0.1724,0.1034,0.1034
426,key,0.2667,0.0667,0.1333,0.1000,0.1000,3.4000,0.4333,0.6333,0.0667,0.5667,0.0667,0.1000,0.0667,0.0667,0.1667
427,keyboard,2.0690,0.3103,5.2414,0.6897,1.3103,3.1379,0.3793,1.6552,0.3103,1.1034,0.2069,0.1724,0.1379,0.1724,0.2069
208,kicked,2.3929,2.2857,0.5000,1.1429,0.9643,0.9643,4.6071,0.8929,2.6071,0.7857,0.8214,3.3929,0.8929,1.3929,1.8929
526,kiss,5.6154,1.1154,3.4615,0.8077,1.1154,2.8846,0.2692,5.5000,0.3077,5.3077,0.1923,0.1923,0.3846,0.1923,2.5000
416,kitchen,1.9655,0.4483,0.8966,1.2759,1.0000,3.7241,1.1724,3.5517,0.2414,3.1724,0.1379,0.1379,0.2414,0.1034,0.4138
341,knowledge,2.1786,1.4643,3.1786,4.4643,5.3929,5.2500,1.6071,4.2500,0.4643,3.5714,0.5714,0.5357,0.3214,0.7857,1.7500
152,lab,3.2414,1.0345,0.8621,0.1724,2.2069,4.8276,1.8276,1.3103,0.3448,0.6897,0.2414,0.0690,0.4483,0.7241,0.7931
165,lake,0.5172,0.0000,0.2759,0.4483,0.0690,2.1724,1.8276,3.6552,0.0345,2.9655,0.2069,0.0000,0.0000,0.5517,0.2414
209,landed,0.4615,1.2308,0.4615,1.0385,0.6154,1.0385,1.5385,1.6538,0.2692,0.7692,0.0000,0.0385,0.0385,0.8846,0.9615
269,landslide,0.6000,0.0333,0.1333,0.0000,0.1000,0.1000,5.7000,0.1333,5.2000,0.1000,3.0667,2.5333,1.6333,4.8667,4.4000
210,laughed,3.8667,1.8667,2.6333,4.1333,2.0333,3.0333,0.4333,5.0333,0.0333,5.9000,0.0333,0.0667,0.0667,0.0667,1.9000
468,law,3.1333,1.3667,1.8333,0.9000,1.7667,4.7000,1.9000,1.6000,1.5667,1.1000,1.1333,1.6000,0.7667,1.9333,0.9333
131,lawyer,1.2759,5.8621,1.8966,0.3103,1.5517,3.5862,2.7241,0.8966,2.3448,0.7241,1.3103,2.0690,1.5172,1.4483,1.0345
211,left,1.8966,2.9655,1.3793,2.6552,1.4138,1.5172,0.8276,1.0690,1.0345,0.7586,1.2069,1.2759,0.6897,0.8966,1.4483
302,leg,0.8000,0.6667,0.7000,3.5667,0.7000,2.9000,1.8667,1.9333,0.1333,1.5667,0.0333,0.0333,0.0667,0.1333,0.1333
469,legality,3.4444,1.2222,2.0000,0.7778,2.4444,3.7407,2.0741,0.7037,1.4815,0.8148,1.1852,1.2593,0.8519,1.8148,1.1852
377,lemonade,1.1000,0.1333,0.3333,0.3667,0.0333,2.1000,0.2667,4.6667,0.1000,3.6333,0.0333,0.0333,0.1000,0.0000,0.4333
270,lightning,0.1290,0.0645,0.1935,0.0645,0.1290,0.1613,4.8065,1.2258,3.0000,0.8065,0.4516,0.3548,0.2258,4.0968,3.8710
240,liked,2.2143,3.3214,2.0714,4.5000,4.1071,2.8214,0.2500,5.4643,0.0714,5.5000,0.1429,0.0714,0.0357,0.1071,1.5000
444,limousine,2.6786,0.1071,0.6786,0.2500,0.1071,2.2143,1.8214,3.4286,0.2500,3.3929,0.2857,0.2500,0.1786,0.1429,2.1429
303,lip,2.5172,0.7586,5.0345,3.0000,0.4138,1.9310,0.7241,3.0690,0.3103,2.0000,0.1724,0.2414,0.2414,0.2414,0.7241
212,listened (to),4.7931,3.1034,5.4828,4.6207,3.9655,3.2414,0.5517,2.2069,0.6207,1.5862,0.4138,0.5172,0.2069,0.4138,1.0345
238,lived,2.7586,3.8276,2.0345,5.3793,2.2759,3.9655,0.6897,4.1724,0.3793,3.1724,1.1724,0.8621,0.5862,0.7241,0.8621
502,loan,4.4000,0.2400,1.0000,0.6800,0.6000,4.5200,1.5600,1.2000,1.9200,1.5200,0.9200,1.0800,0.4800,1.4000,0.5200
38,lonely,1.9200,1.2000,1.1200,2.1200,3.2400,0.1600,1.5200,0.1200,3.9600,0.5600,5.6000,1.2800,1.0800,1.6000,0.1600
16,long,0.9630,0.2222,0.9630,0.2222,0.6296,0.5185,0.4444,0.9630,1.0741,0.1481,1.1852,0.1852,0.2593,0.3333,0.2593
213,lost,0.7692,1.8077,0.8846,1.3846,2.3846,0.2308,2.6154,0.1538,4.8462,0.1154,3.9231,3.0000,1.7692,3.5769,3.2308
17,loud,2.5667,0.6333,3.7333,0.6333,0.5000,0.8667,1.7000,0.8000,3.5333,1.2000,0.7333,3.0000,0.8667,1.9000,2.6000
348,love,5.4828,1.2759,4.1379,3.5517,4.5172,4.9310,1.7586,5.4828,0.5172,5.7241,1.5517,1.1034,0.5517,1.2069,2.2759
470,luck,1.1111,0.2593,0.3704,1.9630,1.9259,4.5926,1.0000,4.5556,0.4074,5.0741,0.7037,0.5926,0.2963,0.6667,3.4074
363,lust,4.5357,1.1786,1.8214,1.8929,5.0714,2.3214,2.1071,4.1071,0.9643,3.5714,0.5714,0.5714,1.1071,0.9643,2.0000
101,magazine,0.6207,0.2759,3.2414,0.6552,1.4138,2.1724,0.2414,2.6552,0.2069,2.3448,0.4483,0.3448,0.2069,0.0345,0.7931
471,majority,3.4444,2.5185,1.6296,1.3704,0.6667,2.3704,1.6667,1.3333,0.6296,1.3333,0.5556,1.0370,0.5556,1.0000,0.7407
364,malice,4.5000,2.1429,2.3214,0.4643,5.0357,0.2500,5.1429,0.4286,5.3929,0.0357,3.4286,4.6786,3.5000,3.6429,2.0714
71,man,1.0345,5.7931,0.8621,3.9655,1.2759,3.3793,3.3793,2.3103,0.8621,2.3793,0.9310,1.1034,0.6552,0.8966,1.3793
398,mandolin,2.0333,0.2000,2.2000,0.3667,1.5000,1.8667,0.1667,4.1000,0.3667,3.1000,0.7000,0.1000,0.0667,0.1000,0.9000
214,marched,3.6296,3.3704,1.1481,0.4815,1.0741,1.5926,0.9259,0.9630,0.8519,1.5556,0.4074,0.8519,0.0741,0.4444,0.4815
527,matinee,3.4444,0.6667,1.6667,0.1852,1.4444,2.2222,0.0741,3.8148,0.5185,3.5926,0.8519,0.4444,0.1481,0.3704,1.1481
132,mayor,2.0690,5.5862,1.5862,0.1379,1.0000,3.6552,1.7586,1.9655,1.3793,1.1034,0.6207,1.1034,0.6552,0.5517,0.8966
102,medicine,1.0345,0.1034,0.1724,0.1724,0.4138,5.7586,2.4828,1.4828,2.4138,2.1379,0.8966,0.7241,1.1034,1.2414,0.2759
46,meeting,6.0000,2.3793,5.5172,0.4828,2.8276,3.7931,0.7931,1.2414,1.4828,0.6897,0.6207,0.7241,0.2759,0.5517,0.7931
428,megaphone,2.7000,0.3000,5.4667,0.1333,0.4000,2.2000,0.9333,0.8000,1.7333,0.8333,0.1667,1.0000,0.3000,0.9000,2.8000
503,mercy,4.5385,1.5385,2.1538,2.4615,3.8462,4.5385,0.5385,3.2692,0.2692,2.9615,0.7692,0.3846,0.2692,0.3077,1.3462
215,met,5.8710,3.2903,4.7097,3.6129,2.3871,3.0968,0.5161,3.3226,0.4194,2.4516,0.0000,0.0645,0.0000,0.2258,1.0323
133,minister,2.1034,5.7241,1.3103,0.8621,1.2759,4.3448,1.2069,2.6552,0.9655,2.1379,0.6552,0.6207,0.5862,0.6552,0.8276
72,mob,5.0333,5.0000,2.5000,0.2333,1.6000,1.5000,5.0000,0.7000,4.1333,0.3667,2.0000,3.0667,2.0667,4.4667,2.5000
285,monkey,0.1852,2.8889,0.2963,0.3704,0.1852,1.4074,2.6296,2.7037,0.5926,1.8519,0.0741,0.1852,0.4444,0.8519,1.1481
286,moose,0.0345,1.2414,0.0000,0.0690,0.2069,1.1034,3.1379,2.3793,0.4483,1.3103,0.1034,0.1724,0.1034,1.6207,1.6552
504,moral,2.3793,2.0345,2.5517,4.0690,4.3103,5.4138,0.8966,3.6897,0.7586,3.2759,0.8276,0.5862,0.5172,0.4828,1.3103
175,morning,0.9231,0.0385,0.1154,0.6923,0.2692,1.3846,0.1154,3.6923,0.8077,3.0000,0.3846,0.6154,0.2308,0.3077,0.1923
287,mosquito,0.2333,0.6333,0.0667,0.0333,0.2000,0.1667,4.2000,0.2333,5.5000,0.0667,1.4333,2.9667,3.1000,2.0000,1.9667
342,motive,2.2414,2.4483,1.0345,1.7586,4.9310,3.0345,2.4828,1.1379,1.2414,1.0690,1.0000,1.4138,0.8621,1.0345,1.0000
166,mountain,0.5862,0.4138,0.0690,0.6552,0.3448,0.6552,1.1379,2.9655,0.2069,1.8966,0.0690,0.0345,0.0690,1.0345,0.3793
73,mouse,0.1563,1.2188,0.0313,0.0313,0.0938,0.2500,2.0938,0.5313,3.4375,0.3750,0.1875,0.9063,2.7500,2.0000,3.0938
304,mouth,2.1429,0.9643,5.5714,3.1429,1.2857,2.7143,2.1429,1.6786,0.3214,1.4286,0.5714,0.7500,0.6429,0.3571,0.6786
305,muscle,0.4828,0.4138,1.3793,2.6897,0.7931,3.7931,2.0690,1.7931,0.4138,1.2069,0.1379,0.1034,0.3448,0.8276,0.4138
326,mushroom,0.1379,0.0000,0.0690,0.1724,0.1379,1.8966,1.7241,2.1379,1.3448,1.0690,0.1724,0.1379,1.4483,0.4138,0.1724
528,musical,4.5769,0.7692,2.7308,0.5385,1.6154,2.4615,0.2692,3.8846,0.5385,3.8462,1.1538,0.4615,0.1538,0.3846,1.7692
378,mustard,0.6667,0.0333,0.0667,0.3000,0.4000,1.2333,0.4000,3.2667,0.6000,1.8000,0.0000,0.0667,0.3333,0.0333,0.5000
472,mystery,3.1111,0.9259,0.8148,0.6667,3.5185,1.5556,2.1111,1.2222,2.1111,1.3333,1.5556,1.2963,0.7407,2.9630,4.2222
216,negotiated,5.8438,5.1875,5.3750,1.5625,5.0625,4.1250,1.4375,1.3125,1.6875,1.2500,0.5938,1.0000,0.4063,0.7500,1.1250
18,new,0.4138,0.6207,0.2759,0.8966,0.6207,1.7586,0.3448,3.0345,0.1379,2.7931,0.1379,0.2069,0.1034,0.7586,1.4483
103,newspaper,1.6333,0.5000,4.4667,0.6333,1.9667,3.1333,0.6667,2.3000,1.1667,2.0000,1.8667,1.4000,1.0667,1.0000,2.0333
176,night,0.1481,0.0000,0.0741,0.3333,0.0741,1.6296,0.8148,3.2963,0.3704,1.7407,0.7037,0.0741,0.0370,2.0741,0.0370
306,nose,0.3000,0.2667,1.0000,3.6000,0.1333,2.9333,0.4667,2.0000,0.5333,0.7000,0.0667,0.0667,0.6667,0.0667,0.1333
473,noun,1.0588,0.1176,4.8235,0.5882,2.0588,2.7059,1.0000,1.5294,0.6471,1.4118,0.5882,0.6471,0.4706,0.2353,0.7059
474,number,0.8462,0.0385,3.3462,0.8846,3.6923,3.3846,0.6154,1.5769,0.7692,1.3462,0.7692,0.6923,0.2308,0.5000,1.0769
