Occurrences,Word,Length,LgSUBTLWF,Ortho_N,Phono_N,OLD,PLD,POS,I_Mean_RT,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
1,savant,6,1.398,0,0,2.45,2.9,JJ|minor|NN,877.778,0.79,762.118,0.739
1,save,4,3.918,18,24,1,1,VB|NN,586.853,1,600.429,0.966
1,saver,5,1.505,10,17,1.45,1.35,NN,690.4,0.88,673.692,1
1,savings,7,2.586,3,5,1.85,1.85,NN,592.394,0.97,657.607,1
1,savior,6,2.24,0,0,2.5,2,NN,681.531,0.91,698.346,0.929
1,savor,5,1.69,3,17,1.8,1.35,VB|NN,714.414,0.91,721.154,0.929
1,savvy,5,1.74,2,5,2.05,1.8,JJ,747.417,0.75,720.115,0.929
1,sawdust,7,1.491,0,0,3.1,3.5,NN,746.161,0.97,759,1
1,sawmill,7,1.342,0,0,2.95,2.9,NN,866.821,0.82,834,0.962
1,sax,3,1.813,17,32,1.25,1,NN,621.182,0.69,627.179,1
1,saxophone,9,1.94,0,0,3.7,3.75,NN,792.909,0.97,678.393,1
1,say,3,4.922,28,52,1,1,VB|NN,637.029,1,627.185,1
1,scab,4,1.518,6,4,1.65,1.6,NN,738.517,0.94,699.074,1
1,scalding,8,1.322,3,2,2.05,2.35,VB|NN|JJ,831,0.82,738.444,0.964
1,scalpel,7,2.209,1,0,2.7,2.8,NN,803.208,0.71,817.545,0.846
1,scamp,5,1.959,4,3,1.75,1.75,NN,719.421,0.53,730.273,0.917
1,scampi,6,1.322,1,4,2.4,1.9,NN,774.857,0.44,733.741,1
1,scan,4,2.682,8,7,1.5,1.35,NN|VB,612.533,0.88,636.407,1
1,scandal,7,2.618,0,1,2.6,1.85,NN,614.5,0.97,707.857,1
1,scanner,7,2.179,2,7,1.85,1.75,NN,661.485,0.97,769.391,0.958
1,scapegoat,9,1.756,0,0,4.3,3.8,NN,790.333,0.97,801.038,0.963
1,scarce,6,1.944,0,4,1.95,1.85,JJ,669.312,0.97,695.833,0.923
1,scare,5,3.234,10,10,1.35,1.4,VB|NN,800.065,0.97,680.607,1
1,scarecrow,9,1.954,0,0,3.8,4,NN,767.935,0.94,793.926,1
1,scared,6,3.833,9,9,1.5,1.5,VB|JJ,687,0.97,747.333,0.923
1,scary,5,3.126,5,5,1.75,1.85,JJ,647.121,0.97,709.154,1
1,scat,4,1.819,11,14,1.4,1.2,NN|VB,751.533,0.91,672.357,1
1,scatter,7,2.097,4,6,1.8,1.6,VB|NN,739.406,0.97,644.821,1
1,scavenger,9,1.653,2,1,3.45,3.55,NN,756.643,0.82,737.731,0.963
1,scenario,8,2.505,0,0,3.65,2.95,NN,742.059,0.97,726.8,0.926
1,scene,5,3.581,2,51,1.85,1,NN,570,0.97,759.4,0.952
1,scenery,7,2.288,0,2,2.8,2.3,NN,699.586,0.85,821.12,0.962
1,scenic,6,1.732,0,3,2.5,1.8,JJ,786.778,0.82,765.227,0.846
1,scented,7,1.672,1,13,2,1.35,JJ|VB,619.094,0.91,684.778,0.964
1,schedule,8,3.182,0,0,3.55,3.35,NN|VB,760.647,1,660.125,0.923
1,schematic,9,1.771,0,0,3.1,2.8,JJ,816.926,0.82,890.636,0.88
1,scheme,6,2.569,1,7,2.45,1.45,NN|VB,652.375,0.97,718.667,1
1,SCHILLING,9,1.556,1,15, , ,NN, , , , 
1,schizophrenia,13,1.845,1,0,7,6.7,NN,887.56,0.78,840.923,0.963
1,schizophrenic,13,2.072,1,0,6.7,6.7,JJ,945.75,0.93,990.955,1
1,schnapps,8,1.58,0,1,3.65,1.95,NN,924.5,0.69,796.652,0.852
1,scholar,7,2.272,0,4,2.75,1.8,NN,759.097,0.91,701.125,0.923
1,scholarship,11,2.706,0,0,4.35,3.8,NN,733.812,0.94,703.536,1
1,schoolboy,9,1.833,0,0,3.4,3.4,NN,665.969,0.94,755.464,1
1,schoolgirl,10,1.987,0,0,3.75,3.75,NN,679.588,1,732.621,1
1,schoolhouse,11,1.763,0,0,4,3.55,NN,653.273,1,713.75,1
1,schooling,9,1.869,0,5,2.65,1.85,NN|VB,776.829,1,697.407,1
1,schoolmaster,12,1.672,0,0,4.4,4.3,NN,802.742,0.97,721.893,1
1,schoolwork,10,1.699,0,0,3.65,3.6,NN,708.514,0.97,717.444,1
